denominationUniteLegale,siren,trancheEffectifsUniteLegale
LOGISTIQUE GLOBALE EUROPEENNE,418428256,21
STADE TOULOUSAIN RUGBY,418436002,22
ALGONQUIN FRANCE HOTEL SERVICES,418441234,21
CARIBOO,418472916,32
FAMILY HOME DOMAINE LES POIRIERS,418473708,21
CITEGESTION,418474599,21
SDL FRANCE SARL,418492112,22
SAS GERARD JEHL,418494035,21
MENUISERIE DU PRATZ,418499380,21
MONDIAL PARE-BRISE,418505343,32
SAS CLINIQUE LA MONTAGNE,418513701,21
DODO,418527636,32
EUROBETON INDUSTRIE,418543369,21
CAP AGRI-QUERCY-SERVICES,418545299,21
OCCAMIANTE,418552394,21
MAISONS CONCEPT,418563292,21
MANUFACTURE KERING EYEWEAR,418565651,22
LOGISTIQUE INTERNATIONALE ALIMENTAIRE SAS,418574869,21
TRANSDEV AEROPORT TRANSIT,418576203,21
BIOSPHERE MEDICAL,418584033,21
INEO URBAN TRANSPORTATION SOLUTIONS,418595450,32
CTID,418597175,21
TRANSPORTS NAVAL,418600474,22
SELIX,418606091,21
ENYOS SECURITE,418608030,21
IPF CONSEIL ET RESSOURCES,418611125,21
EDRA SERVICES,418612230,32
EVERCLEAN SERVICES,418617445,31
FDJ GAMING SOLUTIONS FRANCE,418618088,21
VOS LOGISTICS LYON,418631115,21
FONCIA LEMANIQUE,418633350,31
CEGELEC CENTRE EST TERTIAIRE SAS,418647335,21
PWC INVESTISSEMENTS,418652798,21
PBM INDUSTRIE,418656153,21
EGO PRODUCTIONS,418658571,32
LE CLOS CHAMPIROL,418660031,21
GENZYME POLYCLONALS SAS,418661039,32
ALFI,418661047,31
PERRENOT LE CALVEZ AGRO,418663761,21
BRASSERIE DE BRETAGNE,418671749,21
HOTELS DU PONT DE SURESNES,418679031,21
BONNA SABLA SNC,418679866,41
DIEHL METERING SAS,418682670,32
KERSEGAL,418691341,21
ANTHIGO,418691465,22
APTUS SERVICES,418692521,21
LES PRODUCTIONS VIVEMENT LUNDI,418701710,22
CO-VA-DIS,418703674,22
VANDERMARLIERE CIGAR FAMILY FRANCE,418705000,21
LABORATOIRE PASQUIER,418708657,21
IMMOBILIERE PATRIMOINE ET FINANCES,418712501,21
S.A.S.P RUGBY CLUB TOULONNAIS,418716007,22
LES JARDINS DE MOUANS SARTOUX,418733119,21
SIMOLDES PLASTICOS FRANCE,418746863,32
BRETEAULT,418748620,21
BIOMEGA,418748968,22
HTL,418752135,21
CLINIQUE DE DOMONT,418753380,21
SOCIETE ANONYME SPORTIVE PROFESSIONNELLE SPORTING UNION AGEN LOT ET GARONNE,418757233,21
PAPANGUE,418765830,21
SDEL DAUPHINE SAVOIE,418767646,21
SAS AUTOMOTIVE FRANCE,418768727,21
5ASEC R I F,418782025,32
PRIMEVER ATLANTIQUE,418816286,22
PRO-SANTE LIZY,418816310,21
DOSATRON INTERNATIONAL,418826822,22
CONSORT FRANCE,418827655,42
GALEO,418841128,22
LE CEDRE,418841227,22
ABC STAR NET,418842563,21
OPTIMIND,418861969,31
SERVICES ET PROPRETE INDUSTRIELLE DENIAU ANJOU,418865580,21
MICHEL ODIC,418871505,21
J.L. INTERNATIONAL,418872537,42
TRANSPORTS JAMMET,418894630,32
LA MOTOCULTURE DE L'OISE,418899837,21
NSI 2,418919684,21
MEAS FRANCE,418929725,32
EAGLE INDUSTRY FRANCE,418930178,22
REFOOD SERVICE,418933495,21
CITAE,418935862,21
KORIAN LE BOURGENAY,418937306,21
ABENEX CAPITAL,418938528,21
SIT SEFERIS LILLE,418951455,21
ARTISAN CHARPENTIER EBENISTE MENUISIER EN ABREGE ACEM,419031208,21
SERRU,419031844,21
APOK,419042544,22
EUROPE DES PAINS,419046677,22
SAS RUE MONTALEMBERT,419060876,21
EIFFAGE ENERGIE SYSTEMES - CLEMESSY MOTORS,419064480,21
IZIVIA,419070180,21
AERO XV - YMCA SERVICES,419070271,32
SOCIETE VENDEENNE DE DISTRIBUTION,419071733,21
SAINT SULPICE DISTRIBUTION,419077599,21
NEOA,419091095,21
SENICE,419097340,21
ARIDEV,419107107,21
CENTRE D'HEMODIALYSE M.G. DURIEUX,419119979,21
SARL LAPEDAGNE TRAVAUX PUBLICS,419128129,21
INEO ENERGY & SYSTEMS,419173364,31
INEO POSTES ET CENTRALES,419212840,32
SPI SUD,419214382,22
PROCTER & GAMBLE BLOIS,419222245,32
KOSMOS,419223425,21
SELARL LES BIOLOGISTES ASSOCIES,419232210,21
SERVCOM,419234844,21
WATERLOGIC FRANCE,419235015,22
SAGIR,419237227,21
TANINGES DISTRIBUTION,419238001,21
ENVELNOR KUVERT,419239629,21
ENVELNOR PACKAGING,419240544,21
ASM CLERMONT AUVERGNE,419240593,21
DORINE,419242227,21
JOURDANIERE NATURE SARL,419244322,22
FERDINAND BILSTEIN FRANCE,419249123,21
SANITHERM J. BLANC-TAILLEUR,419255492,21
GDR CHERPIN,419262555,21
ARGENCE DEVELOPPEMENT,419270319,31
STEPHID,419270335,21
FAURIE AUTO MONTAUBAN,419277199,21
TRANSPORTS MARNE ET MORIN,419280151,32
KELLER FONDATIONS SPECIALES,419283262,31
NEWCO BEZONS,419288261,21
TOUT NET NETTOYAGE INDUSTRIEL,419290036,32
AGIR SECURITE,419293972,32
FROMAGERIE SAINT CHARLES,419298963,21
ACTRANS,419301080,21
FIME,419311329,22
DELTA EXPLOITATION,419312392,22
RRP,419318076,21
P.M.B.,419332200,22
TOLE ET DESIGN,419339064,21
TELECOM,419343637,21
S.A 2 M,419343850,21
CAFE LE VICTOR HUGO,419344999,21
DIGIMIND,419346135,21
CLUB ATHLETIQUE BRIVISTE CORREZE LIMOUSIN,419346507,21
TECOBAT,419346796,21
CREOLE BEACH,419349188,31
ESTAC,419388996,21
FREE RESEAU,419392931,42
SPM INTERNATIONAL,419396965,21
CERELIA,419397104,22
LE PARC DES SALINES,419397997,21
APRIL TECHNOLOGIES,419399480,22
TRAITEMENTS DES ESPECES ET MOUVEMENTS INTER SITES,419403720,32
FABRE FOURTINE TRAVAUX,419428909,21
LES CHAMPIGNONS DE NORMANDIE,419429360,22
B.O.P.B.,419434733,21
USAP,419440581,21
CREATIS,419446034,31
OCEANIS DEVELOPPEMENT,419464458,21
FREVIAL,419468251,32
GROUPE D'INTERVENTION DE PREVENTION ET DE SECURITE CHALLENGE,419470539,32
ARTAL TECHNOLOGIES,419472493,21
GOR RADIOTHERAPIE ET ONCOLOGIE GUICHARD ET ASSOCIES,419474754,21
MASTERNAUT,419476593,22
ETS TOURET L HERBIER DU DIOIS,419478144,21
SECTION PALOISE RUGBY PRO,419481411,21
GROUPE MONDIAL TISSUS GMT,419487939,41
ICON CLINICAL RESEARCH SARL,419490099,31
SOLUNE,419501085,22
SNC FLOREPI,419512991,22
LOOK CYCLE INTERNATIONAL,419513262,22
LIBELLA,419519954,21
INSTITUT LINGUISTIQUE ADENET,419523923,21
CAPSAUTO,419540067,22
SOC AMENAGEMENT HOTELIERE BENDOR,419542444,22
ABYSS,419542691,22
B.R.H.,419543616,21
HEWLETT-PACKARD CENTRE DE COMPETENCES FRANCE,419553532,41
TRANSDEV BUSINESS INFORMATION SOLUTIONS,419566450,21
ARTHESYS,419570940,22
PIDY PRODUCTION,419574157,22
AUXODIS,419610183,22
COFIDOC,419616255,21
ALTAVIA JETPULP,419623152,21
BEAUVAIS DIS,419629415,22
VARENNE GASTRONOMIE,419631981,22
CLARANET,419632286,41
COMPAGNIE D'ENTREPRISE GENERALE DE TRAVAUX PUBLICS - CEGETP,419637558,21
FIRCOSOFT,419637657,22
STEF LOGISTIQUE TIGERY,419637897,21
GUEUDET AUTO VALLEE DE SEINE,419638606,22
ESPACE DE PROPRETE,419639471,31
PREMIER TECH EAU ET ENVIRONNEMENT,419646096,22
LES PUBLICATIONS GRAND PUBLIC,419648902,21
SODICA II,419649520,21
GIRAUD MIDI PYRENEES,419657416,22
APAVE NORD-OUEST SAS,419671425,51
IVECO FRANCE,419683818,42
SYSTANCIA,419687231,21
JOURDAIN,419690771,22
SIEMAR,419694369,22
LEADER PRICE EXPLOITATION,419695341,42
SELARL CIN,419704788,21
HAMECHER MONTPELLIER,419705736,21
GUY BARBOTEU RESTAURATION SARL,419707237,21
LOPAM,419707906,21
17 JUIN MEDIA,419719612,21
SAMSO,419719992,21
CORIOLIS TELECOM SAS,419735741,32
SCM CERBALLIANCE,419737523,21
SWISS POST SOLUTIONS,419760855,31
RESIDENCE DU CERCLE,419766266,21
SOCIETE DE DISTRIBUTION DU LOIR,419767496,21
AEROCHIM,419779798,22
AMBULANCES SAINTE ANNE,419784913,21
ENERGIE - COTE SUD,419791850,22
PILOU'S CLUB HOUSE,419807730,22
NOVELTY FRANCE,419822408,32
LES JARDINS D'IROISE DE MANSLE,419824677,21
DECOPLUS,419826193,21
CFCA,419827993,22
SOCIETE THERMALE DE CASTELJALOUX,419833363,21
KORIAN GERLAND,419835111,21
PSI BORDEAUX,419835368,21
ASTORG PARTNERS,419838545,21
ARKAMYS,419850417,21
CASTRES OLYMPIQUE,419851076,21
SOCIETE DE GESTION D'AMINISTRATION ET DE MANAGEMENT,419851241,21
GNVERT,419853460,21
SAP LABS FRANCE,419855127,32
ORCAB,419864400,21
FRESENIUS KABI FRANCE,419875786,41
EXCELLENCE,419878046,21
ISABEL MARANT DIFFUSION,419882311,21
BEI SENSORS,419890728,21
GIRARDON MATERIAUX,419893235,32
REPOTEL GAMBETTA,419897848,21
LA BANQUE POSTALE PREVOYANCE,419901269,21
S.A.S.P. NANCY LORRAINE,419901574,22
STEF LOGISTIQUE CERGY,419911078,21
ACIAL,419911318,22
SAS AMBULANCES DE MANOSQUE,419915848,21
CIGALA,419919030,21
CHARLATTE MANUTENTION,419926142,21
BATIVALOIRE,419928650,21
NORDIC PHARMA,419929088,21
SOCIETE DE VENTE A DOMICILE OCEANE -SVDO,419930904,21
TOUT SUR L ECRAN PRODUCTIONS,419931605,21
TP SERVICES,419937651,21
SONAMIA,419937867,21
SODANAC,419944293,21
GRAND SUD ACCUEIL,419948781,21
MYSCRIPT,419963806,22
DOMAINE DE FONTORBE,419981170,22
SKIDATA FRANCE SA,419992706,21
SARL ACTION TARNAISE DE SECURITE,419996608,21
AQUARELLE.COM,419998257,21
TRI-VALLEES,419998315,22
PERRENOT LIMOGES,420004012,21
AUDREX,420015760,22
CONVERS TELEMARKETING,420018178,22
BAYER SEEDS SAS,420019812,32
RESIDENCE LES MIMOSAS,420020349,21
LOHNI,420024051,21
TSI-ACTION INFORMATIQUE,420037210,21
SERVICE CONTROLE ANALYSE DU TRANSPORT,420044596,22
TECHNICAL CENTER EUROPE AFRICA,420046450,21
SEM POMPES FUNEBRES INTERCOMMUNALES DE L'AGGLOMERATION TOURANGELLE,420048050,21
CULTIMER FRANCE PRODUCTEURS ASSOCIES,420057911,21
EUROPE SERVICES,420068777,21
L'ATELIER DU VALOIS,420072712,21
CORASO,420075244,22
KYOWA KIRIN PHARMA,420097081,21
PRESTALOG,420112922,22
KALIES,420116253,21
MARKETING LAB,420117210,21
FRANCE CLAIRE,420117459,32
PROTECTION 24,420127128,22
LABEL-VIE,420137747,21
AUDLINE,420144925,21
CREATIONS J.C. PERRIN,420147639,21
ARGONNE PRODUCTION,420152704,21
CLCV LOGISTIQUE,420153538,22
ASSURANCES ET CONSEILS,420153991,22
SERVICE ACCUEIL PREVENTION SECURITE PRIVEE,420165268,32
PROPRETE MULTISERVICES,420167066,21
SANTERNE CENTRE EST TELECOMMUNICATIONS,420167397,22
ASSURE TRANSPORTS MULTISERVICES,420193781,21
INDUSTRIE-SERVICE,420203135,21
AKANI,420205148,22
STADE FRANCAIS PARIS,420211880,22
FILLON TECHNOLOGIES,420213225,22
SAS SANTERNE TOULOUSE,420246084,31
GENERALE DE BATIMENT MIDI PYRENEES,420254807,31
BRETAGNE VIANDES DISTRIBUTION,420259970,21
CARREFOUR PARTENARIAT INTERNATIONAL,420265845,21
ORION 24,420266090,21
LOUIS,420271157,21
OUEST EMBOUTISSAGE,420273880,21
ELITEL RESEAUX,420287062,21
SPOOLEX,420306508,21
VALLOIS,420307894,22
TRANSPORTS DORCHIES,420312613,22
SOFIE LE CLOS SAINT JEAN,420312639,21
LIMOUSIN LOCTRANS,420317331,22
MORGAN STANLEY FRANCE,420318206,22
GORON-GSL,420321465,32
GIE GAMBETTA IMMOBILIER,420360091,22
K ENTREPRISE,420367484,21
SARL LP GIRAC,420373987,21
ASTRE COMMERCIAL,420385403,21
THIEVIN ET FILS,420394132,31
MSP,420401192,21
AKENA,420403404,32
INFINEUM FRANCE,420410920,21
VULCAIN SERVICES,420418774,41
SOPACO,420428120,22
ADAPT PROPRETE LANGUEDOC-ROUSSILLON,420439044,21
ELECTROPOLI FRANCE,420454175,31
COMPAGNIE MARITIME NANTAISE - M.N,420454399,22
SODIFRANCE ISIS,420458382,41
SOCIETE HOTELIERE DU 61 QUAI DE GRENELLE,420462079,32
AVIDSEN,420462533,21
LIEBHERR GRUES A TOUR SAS,420466468,21
LIEBHERR GRUES MOBILES,420466575,21
FARWEST,420466708,21
ALCADIA ENTREPRISES,420467433,22
SNC ST FRANCOIS DE SALES,420479792,21
UNILIN SAS,420482119,22
VESTA,420486276,21
SOCIETE AIR FRANCE,420495178,53
AIR LIQUIDE GLOBAL E&C SOLUTIONS FRANCE,420499311,41
CRYOPAL,420499477,21
ABAC NET,420510026,21
ECOFEUTRE,420517559,21
PARABOLE REUNION,420523938,21
STEF TRANSPORT VENDEE,420524019,22
LINOBA EXPLOITATION,420527152,22
GIE AUXIA GESTION,420531139,31
SEDONA,420531212,21
EIFFAGE ENERGIE SYSTEMES - ILE DE FRANCE,420540643,42
EIFFAGE ENERGIE SYSTEMES - GESTION & DEVELOPPEMENT,420542151,22
POLYEXPERT ATLANTIQUE,420545071,22
M.C.L.R.,420552416,21
AIRBUS MOBILITY SAS,420553141,21
TOYOTA MOTOR MANUFACTURING FRANCE,420559056,51
IMMO CLEAN PERFORMANCE,420573347,22
CAP LOGISTIC,420573933,21
TPF INGENIERIE,420606188,32
INTERTEK OCA FRANCE,420608341,22
NOVAPEX,420610438,22
ELKEM SILICONES FRANCE SAS,420611386,41
CUISINES MOREL SN,420620718,21
GROUPE CANAL+ SA,420624777,42
DHL SOLUTIONS (FRANCE) SAS,420625451,32
FELLMANN CARTONNAGES,420639387,21
TRANSPORTS NICOLAS VERAY,420665465,22
BOSTON SCIENTIFIC INTERNATIONAL SA,420668402,22
EFFICY FRANCE,420688400,21
BPCE INTERNATIONAL ET OUTRE-MER (BPCEIOM),420698979,21
BLUEKANGO,420710097,21
HIRAM FINANCE FRANCE SARL,420711996,21
AEROCONSEIL SA,420714792,42
DUALIS,420719965,22
COMPETENCES COMMERCE ET INTERNATIONAL,420720567,21
MAXELI,420735656,21
LIM FRANCE,420738577,22
APPROCHE SUR MESURE (A.S.M.),420739948,21
LATELEC,420742660,41
CONDAT,420743221,32
SOCIETE D'ETUDE ET DE REALISATION DE TRAVAUX PUBLICS ET ROUTIERS,420757189,22
ARKEA CAPITAL,420761512,21
MARONI TRANSPORT INTERNATIONAL,420765620,21
VIVESCIA TRANSPORT,420776627,22
ELIOTE,420783383,21
LABORATOIRE HRA-PHARMA,420792582,22
WESTMINTER FRANCE MANAGEMENT,420793069,21
FAURECIA SYSTEMES D'ECHAPPEMENT,420797433,42
VISEO TECHNOLOGIES,420798100,32
PEP,420800492,32
BK SYSTEMES,420802027,21
BRICOMAN,420809923,42
GROUPE HUGUET SAS,420814576,21
TDS,420825085,22
DE GUSTIBUS,420833410,21
LA BOISERAIE,420838419,21
M.P SUD,420847840,21
LABORATOIRES CLARINS,420851651,41
SERIENCE SOINS DE SUITE ET DE READAPTATION,420855553,32
GEA PROCESS ENGINEERING,420856221,22
JPR,420866725,32
CITYZEN,420871717,32
NAUSICAA MEDICAL,420872293,21
FAURECIA INDUSTRIES,420879140,32
J.L.P. CONCEPT,420888661,21
AGC - GROUPE PROMAN,420888984,22
PINGAT AMENAGEMENT & BATIMENT,420893802,21
SOLARONICS CHAUFFAGE,420898199,21
JACQUES LEBAUDY SAS,420909293,22
EN CO,420911406,21
AIRBUS OPERATIONS,420916918,53
ALCHIMIE,420919904,21
CACEIS FUND ADMINISTRATION (CACEIS FA),420929481,41
PROFILAGE OUEST,420934861,21
ALTIZEM,420934960,22
AD3,420937229,41
INTER'NETT,420945016,22
PORSCHE DISTRIBUTION,420947533,22
EUROVIA ILE DE FRANCE,420948226,41
LEGUTERNAY,420954182,21
SOCIETE SAVOISIENNE DE NETTOYAGE,420954695,21
OMIEN 2,420956419,41
ENTREPRISE TOUS SERVICES,420958423,21
CARRIER EMEA,420961690,21
EURAXI PHARMA,420965758,21
M.C.C.,420972622,21
HENDRICKSON FRANCE S.A.S,420976367,22
CLINIQUE DU MONT VENTOUX,420978991,21
JMRP INDUSTRIES,420979452,21
DAUNAT BRETAGNE,420985962,32
LUMEN TECHNOLOGIES FRANCE,420989154,21
DAUNAT BOURGOGNE,420990491,32
SUPHI,420990590,21
BANANERAIE SAINT JULIEN,420991556,21
TECHMAY LOGETIQ,420992406,21
AKIO,421001702,21
GCA RENNES,421002684,21
PROWEBCE.,421011875,32
MENAPHI,421013053,21
MASSELIN COMMUNICATION,421013731,22
HYPERDRIVE,421015587,21
ASSISTANCE MULTI SERVICES PROPRETE,421017369,32
ST MICHEL BISCUITS,421019951,32
CYRILLUS,421022997,32
OFFICE D INGENIERIE SANITAIRE,421025875,21
EMOVA GROUP,421025974,21
TRANSPORTS CHRISTOPHE LAFFOND,421035361,21
FAPES DIFFUSION,421040544,21
NACTIS FLAVOURS,421044009,22
LEGENDRE IMMOBILIER,421061680,21
LAURALBA CONSEIL,421087461,21
SOCIETE DE DISTRIBUTION DE LA SAINTONGE,421089426,21
BLUE SOLUTIONS,421090051,32
SOC DES CARRIERES DE VIGNATS,421092305,21
THIRIET MAGASINS,421098088,41
SOCIETE JEAN FRANCOIS FURIC,421099888,21
LA BANQUE POSTALE,421100645,51
TRANSGOURMET SERVICES,421104449,31
SCHNEIDER ELECTRIC FRANCE,421106709,52
THIRIET DISTRIBUTION,421110198,42
SARL LAVARDIS,421111279,21
THEOBALD TRUCKS,421111519,21
KORIAN BOLLEE CHANZY,421113168,21
GEVREDIS,421116898,21
CYCLEA,421119751,31
STEF EUROFRISCHFRACHT,421120452,21
SOCOGEC QUIMPER,421120510,21
MGI CONSULTANTS SUD-OUEST,421125816,22
ANDREZ BRAJON DUPONT EST,421128026,32
NATHALEX,421129685,21
LOHR INDUSTRIE,421131368,41
TOYS MOTORS LILLE,421131558,21
SEVIGNE,421150418,22
SAS MEQUISA,421152877,31
PROMOTAL,421156720,22
INEO SYSTRANS,421159153,32
SAS PAGOT ET SAVOIE,421159211,32
SOCIETE ANTILLAISE DE LOCATION DE VEHICULES AUTOMOBILES,421160425,22
NTN TRANSMISSIONS EUROPE,421162751,41
YOLE DEVELOPPEMENT,421162785,21
COMPTOIR DE LA PREFABRICATION,421163841,21
COMPAGNIE DE TRANSPORTS DES MASCAREIGNES,421164864,21
ROYAL AIRPORT,421166315,21
EURO NETTOYAGE,421166752,21
SIEUR D'ARQUES,421167040,21
AIR LIQUIDE ELECTRONICS SYSTEMS,421167966,21
S.I.S.,421172313,41
ARCELORMITTAL MEDITERRANEE,421174038,51
AUGUSTA REEVES,421177395,21
LE PARC DE LA TOUQUES,421178740,21
ODYSSEE AUTOMOBILES,421179748,21
CORDEN PHARMA CHENOVE,421181819,22
BIA,421183898,21
SOCIETE DES CARRIERES DE L'EST,421185307,32
TIAMA,421188418,22
DESCAMPS MARCQ,421191321,21
GT LOGISTICS.03,421192089,31
FRIGO TRANSPORTS 84,421194762,21
SAUTHON INDUSTRIES,421195298,22
CITYVISION,421197005,22
GRANULATS BOURGOGNE AUVERGNE,421197906,22
EIFFAGE ENERGIE SYSTEMES - INDUS MEDITERRANEE,421197963,22
CONSTRUCTION STRUCTURES AERONAUTIQUES,421198656,21
ABZAC FRANCE,421199100,22
RED HAT FRANCE,421199464,32
KORIAN BRUNE,421200866,21
SOCIETE EUROPEENNE POUR L EQUIPEMENT DE L HABITAT,421202706,22
DESCAMPS BETHUNE,421202920,21
ACCES INDUSTRIE,421203993,32
GOUPIL INDUSTRIE,421204041,22
ADEO SERVICES,421206079,41
GOLF D'AUGERVILLE,421206822,21
KARMIN,421208075,21
GRANIOU AZUR,421209354,31
PACKGEL,421209990,21
PIGEON,421214479,21
SANTERNE AQUITAINE,421215179,21
MEDOTELS,421216276,42
PRO ARMATURE CHAMPAGNE,421216680,21
OULED,421217902,21
ALLIANCE HEALTHCARE REPARTITION,421218132,51
SDEL ELEXA,421222571,22
DUMEZ COTE D'AZUR,421227000,22
VIALLON EMBALLAGE,421232836,22
3S,421233560,21
CENTRE DISTRIBUTEUR LOURDES,421237454,22
SAS SIEHR,421241522,32
CLEMENT AULNAY BEAUDOTTES,421242520,21
JOUBERT PRODUCTIONS,421243841,22
TITANOBEL,421251836,32
IR FRANCE,421254046,21
B.D.M.S. DISTRIBUTION,421255134,42
UBS (FRANCE) SA,421255670,32
AS INTERNATIONAL GROUP,421255829,21
AUVENDIS,421258567,22
LEGRAND,421259615,21
DGF DISTRIBUTION,421260183,22
SOCIETE FLO EVERGREEN,421263500,22
SNCF CONSEIL,421263716,22
DISLAUB,421264409,21
MUNDIPHARMA,421264466,22
AQUALTER,421277534,22
VIENNOISERIE LIGERIENNE,421277658,32
NEMERA SERVICES,421277823,21
FUGRO FRANCE,421280504,22
GEOXIA NORD OUEST,421282211,31
OUEST BOULANGERE,421284415,32
AUTO ECOLE DE LA COMEDIE THIERRY DELSAUT,421284688,21
BLANCHISSERIE DES DEUX TETES,421286170,21
SOCIETE RENNAISE DE TRANSPORTS ET SERVICES,421286188,21
DEGREMONT FRANCE,421287178,21
V W R INTERNATIONAL,421287855,41
BNP PARIBAS IMMOBILIER PROMOTION IMMOBILIER D ENTREPRISE,421292079,21
BIC ECRITURE 2000,421300088,32
BLANC ET ROCHEBOIS MATERIELS,421300799,21
PARTEMA,421301102,21
LYRECO MANAGEMENT,421304312,32
NOUVELLE SOMAREC,421307703,21
BAMELI,421307711,22
CLARINS LOGISTIQUE,421310277,22
HAYWARD POOL EUROPE SAS,421317371,21
MAD OUEST,421317850,21
HUCHET SAS,421318593,21
VITAL CONCEPT,421319013,31
MINDSHARE,421319195,22
SOURIAU,421320268,42
LE PETIT CUISINIER,421321399,21
VIADOM ACTIVITES MANCHE,421321597,21
SEOSSE TRANSPORT,421321787,21
PUBLICIS MEDIA FRANCE,421326042,41
SOGEA NORD OUEST TRAVAUX PUBLICS,421340043,32
INFORMATICA FRANCE,421340076,21
SOGEA SUD BATIMENT,421340084,32
SOGEA BRETAGNE B T P,421340209,31
CRISTAL UNION,421343369,42
HSBC GLOBAL ASSET MANAGEMENT ( FRANCE),421345489,32
TAIS,421345638,32
OMNISERVICES,421346651,21
DAUPHINE ISOLATION ENVIRONNEMENT,421347006,32
ORANO SUPPORT,421356593,41
"GIE ESPACIL ACCESSION, STE EN LIQUIDATION",421359365,22
C2R,421361056,22
HYPERBAM,421362500,32
SPEEDY FRANCE SAS,421363979,42
ATLANTIC CLIMATISATION ET TRAITEMENT D AIR INDUSTRIE,421370289,41
PROXY SERVICES,421373432,21
S.L.A.F.,421380270,21
ALSTEF AUTOMATION SA,421380866,32
SO.TRA.ROUT.SOC TRAVAUX ROUTIERS,421382706,21
M S S,421383019,22
KRYS GROUP SERVICES,421390188,22
ACCESS CAPITAL PARTNERS,421391764,21
ASCLEPIADE,421395526,21
GE GLOBAL OPERATIONS FRANCE SAS,421395815,32
LENI,421399049,31
EXPRESSIONS AROMATIQUES,421400342,21
CIMLEC INDUSTRIE,421409236,22
DOMINO'S PIZZA FRANCE,421415803,22
MADIANA RESTAURATION,421421256,21
PREMIDIRECT,421422734,32
PHINELEC,421426479,22
MAINE IMAGE SANTE MIS,421427899,22
BELLEROCHE DISTRIBUTION,421433798,22
JEAN LAIN AUTOMOBILES ANNECY,421434002,21
INTERDIS,421437591,41
ALLIANCE,421439373,21
MINITUBES,421454059,32
BOREALIS CHIMIE,421454406,41
TRAVAUX ETUDES CONSTRUCTIONS MAINTENANCE INDUSTRIELLES,421455825,22
ENTREPRISE MARIANI,421467879,21
HENIX,421479163,22
AGRIBERIA SARL,421495060,21
TRANSVIA SERVICES,421502337,21
SERIS FACILITY,421516055,22
MARCO POLO FOODS,421528605,22
IMPERIAL CLASSIC DIFFUSION,421529710,22
NATURENVIE,421531252,32
DU NOIREAU,421533241,21
GILBERT DEVELOPPEMENT,421533720,32
IVRY LAB,421536566,21
FRECHE LOCATION,421544156,22
CERELIA LIEVIN,421559576,22
SODEGER EURL,421560921,22
GAUDON ET FILS,421561549,21
CERELIA VITTEL,421563685,21
DELAIRE - SDEL,421566266,21
OXYA FRANCE,421568965,41
OLYMPIQUE LYONNAIS GROUPE,421577495,22
FLAG SYSTEMES,421577792,21
DUJARDIN BRETAGNE,421578709,21
VULCAIN,421595786,22
ELCIA,421596016,22
UBISOFT FRANCE,421613266,21
REPFOND,421615741,21
LOIRE VINI VITI DISTRIBUTION,421618422,21
FATHER AND SONS,421619594,31
ZF ACTIVE SAFETY FRANCE,421627290,32
ITS INTEGRA,421633173,22
ERIGE SECURITE,421640335,22
YAZAKI EUROPE LIMITED - PARIS,421642117,21
HYPHEN BIOMED,421645979,21
HELISIM,421646365,21
MOREL DISTRIBUTION PROFILS,421649575,21
SOPRESA,421650284,32
AUTO MEDITERRANEE,421658048,21
SMART TRADE TECHNOLOGIES,421663774,22
RAMERY RESEAUX,421664418,22
3C CLIM,421677089,21
CHARCUTERIE DU BLAVET,421691494,21
AMBULANCE DOUILLARD,421692013,22
GROUPE SYNERGIA,421699919,21
IES INGENIERIE,421708017,22
MERIM SERVICES,421708504,21
BOUYGUES TELECOM BUSINESS - DISTRIBUTION,421713892,22
ONEDIRECT,421715731,21
PAPREC GRAND ILE DE FRANCE,421716465,32
LA BOITE A PAPIERS,421737412,22
SEB PROFESSIONAL FRANCE SARL,421742586,21
TIBCO SOFTWARE FRANCE,421743808,21
GALEA GUYANE,421763442,21
SARENS FRANCE,421783408,22
AQUITAINE SANTE,421788654,32
STEAM FRANCE,421815119,21
KNAUF INDUSTRIES EST,421819848,22
L.T. MANAGEMENT,421827676,21
L.C. MANAGEMENT,421827783,21
SODILOISON,421835505,22
ASTEELFLASH FRANCE,421842188,41
A.P.E.N,421850066,41
SEW USOCOME,421863259,42
DIFFUSION TOURISME,421866344,21
TRANSFERT DEVELOPPEMENT INFORMATIQUE,421866468,21
BONHOMME BATIMENTS INDUSTRIELS,421881566,21
IRRIFRANCE GROUPE,421885591,22
LES FLOTS,421890039,21
GROUPE HELIOS,421896200,32
INTEGRAL SECURITY PROVINCE,421905514,22
801 FRANCE,421906132,22
TISSUS DU RENARD,421909490,21
E. COMPAGNIE,421918723,21
UBISOFT PARIS,421923608,41
SPORT 2000 FRANCE,421925918,22
HOTEL AQUABELLA,421936642,21
FREE,421938861,31
PAP,421955097,21
PPO GRAPHIC,421955568,21
ALLO... ! ZA COURSES EXPRESS,421961814,22
ISART DIGITAL,421967498,21
S.F.T.P.,421974221,21
POLIECO FRANCE,421975327,21
ORGANISATION INTRA-GROUPE DES ACHATS,421982745,21
DHL AVIATION (FRANCE) SAS,421985318,32
CWF CHILDREN WORLDWIDE FASHION,421994658,32
POLTRONESOFA 'FRANCE,422036905,32
PHILIPPE ET FILS,422037325,21
SOLOCAL MARKETING SERVICES,422041426,31
ACACH,422048587,21
ASSURANCES PILLIOT,422060236,21
TOSHIBA TEC EUROPE IMAGING SYSTEMS SA,422067751,32
SODICA,422069021,22
